address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"Số TA15, Đường Lê Văn Khương, Phường Thới An, Quận 12, TP Hồ Chí Minh, Phường Thới An, Quận 12, Tp Hồ Chí Minh","2,23 tỷ",Võ Đình Apartment,90 m²,Đã bàn giao,"24,78 triệu/m²",2 phòng,2 phòng,11,Đã có sổ,Hoàn thiện cơ bản,Đông Bắc,Tây Bắc,
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,25 tỷ",New Saigon-Hoàng Anh Gia Lai 3,100 m²,Đã bàn giao,"22,5 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,Đông Nam,Tây Bắc,
"Bến Nghé, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",5 tỷ,Shizen Home (Asiana Riverside),77.5 m²,Chưa bàn giao,"64,52 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,Đông Nam,Tây,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,06 tỷ",Mizuki Park,71 m²,Chưa bàn giao,"43,1 triệu/m²",2 phòng,2 phòng,7,Giấy tờ khác,Hoàn thiện cơ bản,Đông Bắc,,
"Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,284 tỷ",De Capella,95 m²,Chưa bàn giao,"55,62 triệu/m²",3 phòng,2 phòng,6,,Nội thất cao cấp,Tây Nam,Đông Bắc,Căn góc
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","4,05 tỷ",Eco Green Sài Gòn,71 m²,Đã bàn giao,"57,04 triệu/m²",2 phòng,2 phòng,,,,,,
"Võ Chí Công, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,25 tỷ",Safira Khang Điền (Sapphire Khang Điền),101 m²,Đã bàn giao,"32,18 triệu/m²",3 phòng,2 phòng,,,,,,
"Tạ Quang Bửu, Phường 3, Quận 8, Tp Hồ Chí Minh","2,9 tỷ",Saigon Skyview,69 m²,Đã bàn giao,"42,03 triệu/m²",2 phòng,,,,,,,
"Số 102, Bình Thọ, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,9 tỷ",Moonlight Residences,64 m²,Đã bàn giao,"45,31 triệu/m²",2 phòng,,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,79 tỷ",Saigon Riverside Complex Q7,54 m²,Đã bàn giao,"33,15 triệu/m²",1 phòng,1 phòng,,,,,,
"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,2 tỷ",LuxGarden,61 m²,Đã bàn giao,"36,07 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","5,5 tỷ",Celadon City,119.6 m²,Chưa bàn giao,"45,99 triệu/m²",3 phòng,,11,,Hoàn thiện cơ bản,,,
"96, 96 đường Trần Đại Nghĩa, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh","1,6 tỷ",Vision Bình Tân,61 m²,Đã bàn giao,"26,23 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,,,,Căn góc
"Số TA15, Đường Lê Văn Khương, Phường Thới An, Quận 12, TP Hồ Chí Minh, Phường Thới An, Quận 12, Tp Hồ Chí Minh","1,1 tỷ",Võ Đình Apartment,84 m²,Chưa bàn giao,"13,1 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,95 tỷ",Vinhomes Grand Park,81.5 m²,Đã bàn giao,"36,2 triệu/m²",3 phòng,2 phòng,,Giấy tờ khác,Hoàn thiện cơ bản,Đông Bắc,Tây,Căn góc
"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","2,992 tỷ",Q7 Boulevard,73 m²,Đã bàn giao,"40,99 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,,
"18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","4,2 tỷ",Khu dân cư Cityland Park Hills,75.59 m²,Đã bàn giao,"55,56 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh","1,355 tỷ",Summer Square,60 m²,Đã bàn giao,"22,58 triệu/m²",2 phòng,,,,,,,
"195, 195 Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh, Phường 4, Quận 8, Tp Hồ Chí Minh","2,15 tỷ",Topaz City,74 m²,Đã bàn giao,"29,05 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,,Tây Bắc,Đông Nam,Căn góc
"Số 383, Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,85 tỷ",La Astoria,89 m²,Đã bàn giao,"32,02 triệu/m²",3 phòng,3 phòng,,,,,,
"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",2 tỷ,Green Town Bình Tân,68 m²,Đã bàn giao,"29,41 triệu/m²",2 phòng,2 phòng,11,Giấy tờ khác,Nội thất đầy đủ,Đông,Tây,
"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","2,2 tỷ",City Garden,102 m²,Đã bàn giao,"21,57 triệu/m²",3 phòng,3 phòng,16,Đã có sổ,Nội thất cao cấp,,,
"Số 1177, Số 1177 đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,15 tỷ",D-Vela,35 m²,Đã bàn giao,"32,86 triệu/m²",1 phòng,1 phòng,,Giấy tờ khác,Hoàn thiện cơ bản,,,
"Đường Nguyễn Văn Tăng, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,35 tỷ",Vinhomes Grand Park,47 m²,Đã bàn giao,"28,72 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"262/13, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,25 tỷ",Khu căn hộ IDICO Tân Phú,67 m²,Đã bàn giao,"33,58 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,15 tỷ",Celadon City,63 m²,Đã bàn giao,50 triệu/m²,2 phòng,1 phòng,,,,,,
"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,42 tỷ",LuxGarden,69 m²,Đã bàn giao,"35,07 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","6,816087 tỷ",De Capella,87 m²,Đã bàn giao,"78,35 triệu/m²",2 phòng,2 phòng,6,,Nội thất cao cấp,Tây Bắc,Đông Nam,
"Nguyễn Thị Định, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","12,8 tỷ",Phố Đông Village,132 m²,Đã bàn giao,"96,97 triệu/m²",5 phòng,5 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,749 tỷ",Topaz Elite,85 m²,Đã bàn giao,"32,34 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,,Căn góc
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2 tỷ,Ricca,65 m²,Đã bàn giao,"30,77 triệu/m²",2 phòng,2 phòng,,,,,,
"Phan Chu Trinh, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,37 tỷ",Centum Wealth Complex,54 m²,Đã bàn giao,"43,89 triệu/m²",2 phòng,,,,,,,
"Số 8, Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,85 tỷ",Sunview Town,58 m²,Đã bàn giao,"31,9 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","4,5 tỷ",Sunrise City,99 m²,Đã bàn giao,"45,45 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","1,9 tỷ",Bàu Cát 2,54 m²,Đã bàn giao,"35,19 triệu/m²",2 phòng,2 phòng,2,,,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","5,7 tỷ",Sunrise City,130 m²,Đã bàn giao,"43,85 triệu/m²",3 phòng,2 phòng,,Đã có sổ,,Bắc,,Căn góc
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","2,75 tỷ",The Pegasuite,68 m²,Đã bàn giao,"40,44 triệu/m²",2 phòng,,,,,,,
"47, 47 33 Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","1,4 tỷ",Carillon 7,58 m²,Chưa bàn giao,"24,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,95 tỷ",Hưng Ngân Garden,68 m²,Đã bàn giao,"28,68 triệu/m²",2 phòng,,12,Đã có sổ,Nội thất cao cấp,Nam,Bắc,
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, TP. Hồ Chí Minh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,63 tỷ",Dream Home Riverside,62 m²,Đã bàn giao,"26,29 triệu/m²",2 phòng,2 phòng,19,Đang chờ sổ,Nội thất cao cấp,Tây Bắc,Đông Nam,Căn góc
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,59 tỷ",Celadon City,71 m²,Đã bàn giao,"50,56 triệu/m²",2 phòng,2 phòng,,,,,,
"68 Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","2,54 tỷ",Sky Garden 3,57 m²,Đã bàn giao,"44,56 triệu/m²",2 phòng,1 phòng,16,,,Nam,Bắc,
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,68 tỷ",The Pegasuite,1 m²,Đã bàn giao,"1,68 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","3,8 tỷ",Saigon Riverside Complex Q7,86 m²,Đã bàn giao,"44,19 triệu/m²",3 phòng,,,,,,,
"Số TA15, Đường Lê Văn Khương, Phường Thới An, Quận 12, TP Hồ Chí Minh, Phường Thới An, Quận 12, Tp Hồ Chí Minh","2,4 tỷ",Võ Đình Apartment,84 m²,Chưa bàn giao,"28,57 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Đông,Tây,
"Tôn Thất Thuyết, Phường 1, Quận 4, Tp Hồ Chí Minh","2,21 tỷ",Chung cư Tôn Thất Thuyết,50.5 m²,Đã bàn giao,"43,76 triệu/m²",1 phòng,,10,Đã có sổ,Nội thất đầy đủ,,,Căn góc
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,85 tỷ",New Saigon-Hoàng Anh Gia Lai 3,99 m²,Đã bàn giao,"28,79 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,Đông Bắc,Đông Nam,
"Số 19, Cộng Hòa, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","3,68 tỷ",Cộng Hòa Plaza,73 m²,Đã bàn giao,"50,41 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,Đông,Tây,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,55 tỷ",Celadon City,63 m²,Đã bàn giao,"40,48 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,,
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","3,95 tỷ",Akari City,100 m²,Đã bàn giao,"39,5 triệu/m²",3 phòng,2 phòng,13,Đang chờ sổ,Hoàn thiện cơ bản,Nam,Bắc,
"Phú Mỹ Hưng, Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","2,42 tỷ",Hưng Vượng 1,95 m²,Đã bàn giao,"25,47 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh","5,76 tỷ",Căn hộ DE LA SOL (Delasol),60 m²,Chưa bàn giao,96 triệu/m²,2 phòng,2 phòng,,Đang chờ sổ,Nội thất đầy đủ,,,
"996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,9 tỷ",The Pegasuite 2,52 m²,Chưa bàn giao,"36,54 triệu/m²",2 phòng,,,,,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","5,7 tỷ",Sunrise City,130 m²,Đã bàn giao,"43,85 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,Căn góc
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,89 tỷ",Saigon Gateway,57 m²,Đã bàn giao,"33,16 triệu/m²",2 phòng,1 phòng,,,,,,
"Nguyễn Văn Linh, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","1,16 tỷ",HQC Plaza,57 m²,Đã bàn giao,"20,35 triệu/m²",2 phòng,2 phòng,22,Đang chờ sổ,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,415 tỷ",Topaz Elite,73 m²,Đã bàn giao,"33,08 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","3,4 tỷ",Sky Garden 3,72 m²,Đã bàn giao,"47,22 triệu/m²",3 phòng,2 phòng,12,Đã có sổ,Nội thất cao cấp,Nam,Bắc,
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,75 tỷ",Topaz Elite,78 m²,Đã bàn giao,"35,26 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,,Căn góc
"Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,1 tỷ",Topaz Garden,70 m²,Đã bàn giao,30 triệu/m²,2 phòng,2 phòng,,,,,,Căn góc
"654/6, Lạc Long Quân, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh","1,83 tỷ",The Era Lạc Long Quân (The Useful),65 m²,Đã bàn giao,"28,15 triệu/m²",2 phòng,,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,65 tỷ",Vinhomes Grand Park,69 m²,Đã bàn giao,"38,41 triệu/m²",2 phòng,2 phòng,,,,Đông Bắc,Đông Bắc,
"Số 9A, đường Thạnh Xuân 13, phường Thạnh Xuân, Quận 12, TP.HCM, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,528 tỷ",PiCity High Park,66 m²,Đã bàn giao,"38,3 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,Nam,
"39, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","2,68 tỷ",The Tresor,35 m²,Đã bàn giao,"76,57 triệu/m²",1 phòng,1 phòng,,,Nội thất đầy đủ,,,
"Đường 30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",4S Riverside Linh Đông,70 m²,Đã bàn giao,"25,71 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
"Bát Nàn, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,1 tỷ",One Verandah Mapletree,81 m²,Đã bàn giao,"62,96 triệu/m²",2 phòng,2 phòng,4,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Nam,
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,48 tỷ",Celadon City,71.2 m²,Chưa bàn giao,"48,88 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh","6,048 tỷ",Căn hộ DE LA SOL (Delasol),63 m²,Chưa bàn giao,96 triệu/m²,2 phòng,2 phòng,,,,,,
"Đường 15B, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","1,5 tỷ",The Era Town (A1 Riverside),67 m²,Chưa bàn giao,"22,39 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,Tây,Đông,Căn góc
